ダウンロードした時刻：2021/03/10 11:46:05

,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）
2000/1/8,-0.1,8,1,1.7,8,2000/1/8 15:32,8,1,-2.0,8,2000/1/8 23:35,8,1,,,0,1,,,0,,0,0,1,4.5,0,8,1,24.9,8,1,14,0,8,,,,1,,,0,1,5.4,8,1,11.5,8,2000/1/8 00:10,8,北東,8,1,14.8,8,2000/1/8 00:03,8,北東,8,1,,0,1,84,8,1,5.1,8,1,76,8,2000/1/9 0:00,8,1,985.9,8,1,988.5,8,1,0,1,8,,1,,1,8.3,8,1,曇一時雪,8,1,曇一時晴,8,1
2000/1/9,-1.2,8,1,-0.4,8,2000/1/9 21:09,8,1,-3.1,8,2000/1/9 10:20,8,1,,,0,1,,,0,,0,0,1,0.5,0,8,1,20.6,8,1,12,0,8,,,,1,,,0,1,11.9,8,1,19.9,8,2000/1/9 21:10,8,北東,8,1,26.1,8,2000/1/9 21:07,8,北北東,8,1,,0,1,75,8,1,4.2,8,1,50,8,2000/1/9 08:10,8,1,988.6,8,1,991.2,8,1,0,1,8,,1,,1,10.0,8,1,雪一時曇,8,1,ふぶき一時曇,8,1
2000/1/10,-0.6,8,1,0.1,8,2000/1/10 16:03,8,1,-1.4,8,2000/1/10 05:01,8,1,,,0,1,,,0,,0,0,1,0,1,8,1,15.2,8,1,34,0,8,,,,1,,,0,1,16.3,8,1,26.1,8,2000/1/10 06:20,8,東北東,8,1,33.7,8,2000/1/10 06:29,8,東北東,8,1,,0,1,91,8,1,5.4,8,1,79,8,2000/1/10 01:18,8,1,973.7,8,1,976.2,8,1,0,1,8,,1,,1,10.0,8,1,ふぶき,8,1,ふぶき,8,1
2000/1/11,-0.5,8,1,-0.1,8,2000/1/11 03:36,8,1,-1.0,8,2000/1/11 23:43,8,1,,,0,1,,,0,,0,0,1,0,1,8,1,20.9,8,1,34,0,8,,,,1,,,0,1,12.1,8,1,17.0,8,2000/1/11 12:50,8,北東,8,1,21.6,8,2000/1/11 15:47,8,北東,8,1,,0,1,90,8,1,5.3,8,1,86,8,2000/1/11 19:38,8,1,968.0,8,1,970.5,8,1,968.4,0,8,2000/1/11 13:48,0,8,1,10.0,8,1,ふぶき,8,1,雪,8,1
2000/1/12,-0.3,8,1,2.0,8,2000/1/12 15:52,8,1,-2.1,8,2000/1/12 23:28,8,1,,,0,1,,,0,,0,0,1,2.1,0,8,1,24.5,8,1,33,0,8,,,,1,,,0,1,4.3,8,1,10.8,8,2000/1/12 09:40,8,北東,8,1,13.9,8,2000/1/12 09:32,8,北東,8,1,,0,1,76,8,1,4.5,8,1,59,8,2000/1/12 18:04,8,1,973.8,8,1,976.3,8,1,0,1,8,,1,,1,10.0,8,1,曇一時雪,8,1,曇後一時晴,8,1
2000/1/13,-0.9,8,1,2.4,8,2000/1/13 14:50,8,1,-3.9,8,2000/1/14 0:00,8,1,,,0,1,,,0,,0,0,1,12.1,0,8,1,29.1,8,1,31,0,8,,,,1,,,0,1,4.5,8,1,9.9,8,2000/1/13 08:20,8,東北東,8,1,12.9,8,2000/1/13 08:16,8,東北東,8,1,,0,1,64,8,1,3.7,8,1,51,8,2000/1/13 16:42,8,1,977.0,8,1,979.5,8,1,0,1,8,,1,,1,8.0,8,1,曇時々晴,8,1,晴時々曇,8,1
2000/1/14,-0.5,8,1,3.1,8,2000/1/14 13:58,8,1,-4.1,8,2000/1/14 02:31,8,1,,,0,1,,,0,,0,0,1,18.4,0,8,1,30.4,8,1,29,0,8,,,,1,,,0,1,4.5,8,1,9.9,8,2000/1/14 07:10,8,東北東,8,1,12.3,8,2000/1/14 06:51,8,東北東,8,1,,0,1,64,8,1,3.8,8,1,53,8,2000/1/14 14:51,8,1,974.4,8,1,976.9,8,1,0,1,8,,1,,1,4.5,8,1,曇後晴,8,1,晴,8,1
2000/1/15,-1.3,8,1,1.0,8,2000/1/15 14:36,8,1,-5.1,8,2000/1/15 03:11,8,1,,,0,1,,,0,,0,0,1,17.7,0,8,1,31.3,8,1,26,0,8,,,,1,,,0,1,5.2,8,1,12.5,8,2000/1/15 06:00,8,東,8,1,15.2,8,2000/1/15 07:09,8,東北東,8,1,,0,1,60,8,1,3.4,8,1,51,8,2000/1/15 11:31,8,1,968.4,8,1,971.0,8,1,969.1,0,8,2000/1/15 13:22,0,8,1,4.8,8,1,晴後一時曇,8,1,曇一時晴,8,1
2000/1/16,0.4,8,1,4.2,8,2000/1/16 14:01,8,1,-3.0,8,2000/1/16 23:24,8,1,,,0,1,,,0,,0,0,1,13.6,0,8,1,27.2,8,1,25,0,8,,,,1,,,0,1,5.0,8,1,12.3,8,2000/1/16 05:00,8,東,8,1,17.3,8,2000/1/16 09:37,8,東,8,1,,0,1,53,8,1,3.3,8,1,37,8,2000/1/16 15:17,8,1,972.3,8,1,974.8,8,1,0,1,8,,1,,1,6.0,8,1,晴一時曇,8,1,晴,8,1
2000/1/17,-0.6,8,1,3.4,8,2000/1/17 12:12,8,1,-4.7,8,2000/1/17 03:15,8,1,,,0,1,,,0,,0,0,1,22.1,0,8,1,32.1,8,1,22,0,8,,,,1,,,0,1,4.3,8,1,9.4,8,2000/1/17 01:30,8,東,8,1,12.1,8,2000/1/17 00:05,8,東,8,1,,0,1,59,8,1,3.4,8,1,46,8,2000/1/17 16:13,8,1,974.3,8,1,976.8,8,1,0,1,8,,1,,1,1.3,8,1,快晴,8,1,快晴,8,1
