ダウンロードした時刻：2021/03/10 11:39:31

,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）
2012/1/8,-4.0,8,1,-1.5,8,2012/1/8 00:14,8,1,-6.6,8,2012/1/8 06:51,8,1,,,0,1,,,0,,0,0,1,13.7,0,8,1,28.6,8,1,85,0,8,,,,1,0,1,8,1,5.1,8,1,9.8,8,2012/1/8 08:20,8,北北東,8,1,12.3,8,2012/1/8 08:20,8,北北東,8,1,,0,1,81,8,1,3.7,8,1,60,8,2012/1/8 00:22,8,1,969.9,8,1,972.6,8,1,969.0,0,8,2012/1/8 00:55,0,8,1,5.0,8,1,晴後曇,8,1,曇時々晴,8,1
2012/1/9,-0.5,8,1,2.6,8,2012/1/9 17:03,8,1,-4.9,8,2012/1/9 00:21,8,1,,,0,1,,,0,,0,0,1,8.4,0,8,1,25.3,8,1,86,0,8,,,,1,1,0,8,1,4.5,8,1,9.7,8,2012/1/9 11:10,8,北東,8,1,12.4,8,2012/1/9 11:29,8,北東,8,1,,0,1,71,8,1,4.2,8,1,50,8,2012/1/9 23:14,8,1,974.8,8,1,977.5,8,1,976.4,0,8,2012/1/9 23:14,0,8,1,7.3,8,1,曇時々晴一時雪,8,1,晴,8,1
2012/1/10,0.8,8,1,4.1,8,2012/1/10 17:30,8,1,-2.2,8,2012/1/10 02:39,8,1,,,0,1,,,0,,0,0,1,21.0,0,8,1,33.8,8,1,84,0,8,,,,1,0,1,8,1,5.6,8,1,12.4,8,2012/1/10 03:20,8,東,8,1,16.0,8,2012/1/10 03:17,8,東北東,8,1,,0,1,57,8,1,3.7,8,1,39,8,2012/1/10 12:21,8,1,972.3,8,1,974.9,8,1,972.5,0,8,2012/1/10 18:13,0,8,1,3.3,8,1,晴,8,1,晴,8,1
2012/1/11,0.7,8,1,4.9,8,2012/1/11 16:35,8,1,-2.4,8,2012/1/11 03:11,8,1,,,0,1,,,0,,0,0,1,21.1,0,8,1,30.8,8,1,82,0,8,,,,1,0,1,8,1,4.6,8,1,11.6,8,2012/1/11 05:40,8,東北東,8,1,14.5,8,2012/1/11 06:48,8,東北東,8,1,,0,1,58,8,1,3.7,8,1,38,8,2012/1/11 16:37,8,1,976.6,8,1,979.2,8,1,975.7,0,8,2012/1/11 00:10,0,8,1,2.8,8,1,晴,8,1,晴,8,1
2012/1/12,-2.7,8,1,-0.5,8,2012/1/12 12:39,8,1,-6.1,8,2012/1/12 02:46,8,1,,,0,1,,,0,,0,0,1,4.4,0,8,1,17.5,8,1,81,0,8,,,,1,1,0,8,1,2.6,8,1,4.1,8,2012/1/13 0:00,8,西,8,1,5.0,8,2012/1/12 23:58,8,西,8,1,,0,1,82,8,1,4.1,8,1,61,8,2012/1/12 00:40,8,1,977.9,8,1,980.6,8,1,979.9,0,8,2012/1/12 19:54,0,8,1,8.0,8,1,曇時々雪、霧を伴う,8,1,曇,8,1
2012/1/13,-2.4,8,1,0.2,8,2012/1/13 18:03,8,1,-4.2,8,2012/1/13 23:31,8,1,,,0,1,,,0,,0,0,1,9.3,0,8,1,19.2,8,1,80,0,8,,,,1,0,1,8,1,2.7,8,1,8.0,8,2012/1/13 17:00,8,南,8,1,10.8,8,2012/1/13 16:57,8,南南東,8,1,,0,1,76,8,1,3.9,8,1,57,8,2012/1/13 19:29,8,1,976.6,8,1,979.3,8,1,973.0,0,8,2012/1/13 23:12,0,8,1,5.5,8,1,曇時々晴,8,1,晴,8,1
2012/1/14,-0.8,8,1,0.7,8,2012/1/14 16:38,8,1,-3.9,8,2012/1/14 00:59,8,1,,,0,1,,,0,,0,0,1,6.5,0,8,1,18.8,8,1,78,0,8,,,,1,0,1,8,1,13.7,8,1,21.4,8,2012/1/14 09:40,8,東北東,8,1,27.9,8,2012/1/14 09:41,8,東北東,8,1,,0,1,61,8,1,3.6,8,1,53,8,2012/1/14 23:38,8,1,970.9,8,1,973.6,8,1,970.7,0,8,2012/1/14 05:23,0,8,1,8.8,8,1,曇,8,1,曇後一時晴,8,1
2012/1/15,-0.4,8,1,3.2,8,2012/1/15 13:17,8,1,-3.8,8,2012/1/15 23:51,8,1,,,0,1,,,0,,0,0,1,15.2,0,8,1,29.2,8,1,78,0,8,,,,1,0,1,8,1,3.2,8,1,7.6,8,2012/1/15 01:10,8,東,8,1,9.9,8,2012/1/15 01:56,8,東北東,8,1,,0,1,62,8,1,3.7,8,1,40,8,2012/1/15 12:41,8,1,977.6,8,1,980.3,8,1,978.2,0,8,2012/1/15 00:01,0,8,1,4.5,8,1,晴,8,1,晴後曇,8,1
2012/1/16,-3.4,8,1,-2.1,8,2012/1/16 18:16,8,1,-6.0,8,2012/1/16 02:43,8,1,,,0,1,,,0,,0,0,1,7.1,0,8,1,23.9,8,1,85,0,8,,,,1,7,0,4,1,6.3,8,1,9.9,8,2012/1/16 18:40,8,北東,8,1,12.1,8,2012/1/16 14:18,8,北北東,8,1,,0,1,83,8,1,4.0,8,1,64,8,2012/1/16 07:53,8,1,980.7,8,1,983.4,8,1,981.8,0,8,2012/1/16 00:08,0,8,1,10.0,8,1,雪一時曇,8,1,雪時々曇,8,1
2012/1/17,-2.4,8,1,-1.1,8,2012/1/17 17:30,8,1,-4.1,8,2012/1/17 01:32,8,1,,,0,1,,,0,,0,0,1,0,1,8,1,18.3,8,1,83,0,8,,,,1,1,0,8,1,7.3,8,1,12.0,8,2012/1/18 0:00,8,東北東,8,1,14.7,8,2012/1/17 18:22,8,北東,8,1,,0,1,82,8,1,4.2,8,1,68,8,2012/1/18 0:00,8,1,981.5,8,1,984.2,8,1,983.0,0,8,2012/1/17 04:51,0,8,1,10.0,8,1,雪時々曇,8,1,曇一時雪,8,1
2012/1/18,-1.3,8,1,2.5,8,2012/1/18 12:17,8,1,-3.9,8,2012/1/18 04:08,8,1,,,0,1,,,0,,0,0,1,12.6,0,8,1,28.7,8,1,78,0,8,,,,1,0,1,8,1,6.7,8,1,14.0,8,2012/1/18 02:20,8,東北東,8,1,16.1,8,2012/1/18 02:13,8,東北東,8,1,,0,1,66,8,1,3.7,8,1,44,8,2012/1/18 12:37,8,1,984.9,8,1,987.6,8,1,985.5,0,8,2012/1/18 02:17,0,8,1,10.0,8,1,薄曇,8,1,薄曇,8,1
2012/1/19,-1.8,8,1,-0.2,8,2012/1/19 12:22,8,1,-4.0,8,2012/1/19 02:43,8,1,,,0,1,,,0,,0,0,1,0.3,0,8,1,18.8,8,1,78,0,8,,,,1,0,1,8,1,4.2,8,1,8.9,8,2012/1/19 23:50,8,東北東,8,1,10.9,8,2012/1/19 23:46,8,東北東,8,1,,0,1,67,8,1,3.6,8,1,55,8,2012/1/19 22:31,8,1,980.8,8,1,983.5,8,1,977.8,0,8,2012/1/20 0:00,0,8,1,10.0,8,1,曇,8,1,曇,8,1
2012/1/20,-1.4,8,1,1.3,8,2012/1/20 12:55,8,1,-5.2,8,2012/1/20 23:29,8,1,,,0,1,,,0,,0,0,1,13.5,0,8,1,28.4,8,1,78,0,8,,,,1,0,1,8,1,3.8,8,1,8.7,8,2012/1/20 00:10,8,東北東,8,1,11.2,8,2012/1/20 00:53,8,東北東,8,1,,0,1,66,8,1,3.6,8,1,44,8,2012/1/20 18:39,8,1,978.3,8,1,981.0,8,1,977.7,0,8,2012/1/20 02:01,0,8,1,7.8,8,1,晴一時曇,8,1,薄曇時々晴,8,1
2012/1/21,-2.8,8,1,0.3,8,2012/1/21 15:10,8,1,-6.6,8,2012/1/22 0:00,8,1,,,0,1,,,0,,0,0,1,19.5,0,8,1,30.2,8,1,76,0,8,,,,1,0,1,8,1,2.2,8,1,4.0,8,2012/1/21 19:00,8,南南西,8,1,5.4,8,2012/1/21 16:00,8,南西,8,1,,0,1,63,8,1,3.1,8,1,44,8,2012/1/21 17:52,8,1,984.6,8,1,987.3,8,1,985.7,0,8,2012/1/21 00:18,0,8,1,3.3,8,1,晴,8,1,晴一時霧,8,1
2012/1/22,-5.5,8,1,-1.2,8,2012/1/22 17:03,8,1,-10.5,8,2012/1/22 04:58,8,1,,,0,1,,,0,,0,0,1,14.3,0,8,1,29.3,8,1,75,0,8,,,,1,0,1,8,1,1.9,8,1,3.9,8,2012/1/22 11:40,8,西,8,1,5.2,8,2012/1/22 11:38,8,西,8,1,,0,1,77,8,1,3.1,8,1,59,8,2012/1/22 17:08,8,1,981.1,8,1,983.9,8,1,980.3,0,8,2012/1/22 23:48,0,8,1,5.8,8,1,晴,8,1,曇,8,1
2012/1/23,-4.0,8,1,-3.1,8,2012/1/23 23:16,8,1,-5.9,8,2012/1/23 00:39,8,1,,,0,1,,,0,,0,0,1,0.5,0,8,1,13.7,8,1,84,0,8,,,,1,12,0,8,1,7.2,8,1,13.7,8,2012/1/23 18:50,8,北東,8,1,16.3,8,2012/1/23 18:42,8,北東,8,1,,0,1,82,8,1,3.7,8,1,55,8,2012/1/23 05:17,8,1,975.4,8,1,978.1,8,1,976.5,0,8,2012/1/23 18:49,0,8,1,10.0,8,1,雪時々曇,8,1,曇時々雪,8,1
2012/1/24,-2.5,8,1,0.9,8,2012/1/24 15:05,8,1,-8.0,8,2012/1/24 23:22,8,1,,,0,1,,,0,,0,0,1,10.7,0,8,1,24.5,8,1,81,0,8,,,,1,0,1,8,1,2.4,8,1,5.0,8,2012/1/24 09:40,8,南南西,8,1,6.5,8,2012/1/24 09:33,8,南南西,8,1,,0,1,80,8,1,4.1,8,1,67,8,2012/1/24 15:07,8,1,982.5,8,1,985.2,8,1,980.5,0,8,2012/1/24 00:05,0,8,1,7.5,8,1,曇時々晴一時雪,8,1,快晴,8,1
2012/1/25,-4.6,8,1,-1.7,8,2012/1/25 13:15,8,1,-8.9,8,2012/1/25 03:55,8,1,,,0,1,,,0,,0,0,1,8.8,0,8,1,21.2,8,1,79,0,8,,,,1,1,0,8,1,5.0,8,1,16.9,8,2012/1/25 23:30,8,北東,8,1,19.8,8,2012/1/25 23:26,8,北東,8,1,,0,1,77,8,1,3.4,8,1,59,8,2012/1/25 09:43,8,1,978.4,8,1,981.1,8,1,976.4,0,8,2012/1/25 23:28,0,8,1,5.3,8,1,晴後曇時々雪,8,1,雪後ふぶき,8,1
2012/1/26,-1.3,8,1,0.2,8,2012/1/26 18:36,8,1,-2.6,8,2012/1/26 03:35,8,1,,,0,1,,,0,,0,0,1,0.3,0,8,1,18.1,8,1,79,0,8,,,,1,1,0,8,1,12.8,8,1,16.8,8,2012/1/26 00:20,8,北東,8,1,20.9,8,2012/1/26 00:12,8,北東,8,1,,0,1,86,8,1,4.8,8,1,73,8,2012/1/26 22:58,8,1,977.4,8,1,980.1,8,1,976.5,0,8,2012/1/26 00:21,0,8,1,10.0,8,1,雪,8,1,曇時々ふぶき,8,1
2012/1/27,-1.0,8,1,0.5,8,2012/1/27 17:17,8,1,-2.2,8,2012/1/27 06:25,8,1,,,0,1,,,0,,0,0,1,1.9,0,8,1,20.3,8,1,79,0,8,,,,1,3,0,8,1,17.3,8,1,24.6,8,2012/1/27 20:50,8,北東,8,1,29.3,8,2012/1/27 20:08,8,北東,8,1,,0,1,80,8,1,4.5,8,1,67,8,2012/1/27 17:16,8,1,970.7,8,1,973.4,8,1,968.0,0,8,2012/1/27 19:50,0,8,1,10.0,8,1,曇時々ふぶき,8,1,ふぶき後雪,8,1
2012/1/28,-0.7,8,1,1.5,8,2012/1/28 18:09,8,1,-2.4,8,2012/1/28 06:22,8,1,,,0,1,,,0,,0,0,1,0.7,0,8,1,20.2,8,1,79,0,8,,,,1,1,0,8,1,7.8,8,1,13.8,8,2012/1/28 07:00,8,東北東,8,1,17.3,8,2012/1/28 00:03,8,北東,8,1,,0,1,74,8,1,4.3,8,1,52,8,2012/1/28 12:12,8,1,971.8,8,1,974.4,8,1,973.1,0,8,2012/1/28 00:04,0,8,1,10.0,8,1,曇一時ふぶき,8,1,曇,8,1
2012/1/29,-2.6,8,1,-1.4,8,2012/1/29 15:05,8,1,-4.5,8,2012/1/30 0:00,8,1,,,0,1,,,0,,0,0,1,2.3,0,8,1,21.1,8,1,77,0,8,,,,1,0,1,8,1,6.7,8,1,9.7,8,2012/1/29 23:50,8,東北東,8,1,12.1,8,2012/1/29 23:47,8,東北東,8,1,,0,1,63,8,1,3.2,8,1,55,8,2012/1/29 06:39,8,1,973.6,8,1,976.3,8,1,975.3,0,8,2012/1/29 00:28,0,8,1,10.0,8,1,曇,8,1,曇,8,1
2012/1/30,-1.4,8,1,0.2,8,2012/1/30 14:41,8,1,-5.2,8,2012/1/30 01:05,8,1,,,0,1,,,0,,0,0,1,1.1,0,8,1,15.5,8,1,78,0,8,,,,1,2,0,8,1,16.2,8,1,23.5,8,2012/1/30 20:10,8,北東,8,1,28.8,8,2012/1/30 20:06,8,北東,8,1,,0,1,78,8,1,4.4,8,1,58,8,2012/1/30 01:38,8,1,966.8,8,1,969.5,8,1,965.0,0,8,2012/1/30 20:10,0,8,1,10.0,8,1,曇一時ふぶき,8,1,ふぶき,8,1
2012/1/31,-0.6,8,1,0.5,8,2012/1/31 13:50,8,1,-4.1,8,2012/2/1 0:00,8,1,,,0,1,,,0,,0,0,1,3.9,0,8,1,20.8,8,1,92,0,8,,,,1,17,0,8,1,9.6,8,1,23.4,8,2012/1/31 00:30,8,北東,8,1,27.2,8,2012/1/31 00:28,8,北東,8,1,,0,1,92,8,1,5.4,8,1,80,8,2012/2/1 0:00,8,1,975.4,8,1,978.1,8,1,967.8,0,8,2012/1/31 00:05,0,8,1,10.0,8,1,雪時々曇,8,1,曇後一時晴,8,1
2012/2/1,-1.8,8,1,-0.2,8,2012/2/1 12:23,8,1,-5.1,8,2012/2/1 03:55,8,1,,,0,1,,,0,,0,0,1,4.0,0,8,1,20.0,8,1,86,0,8,,,,1,6,0,8,1,8.9,8,1,14.0,8,2012/2/1 15:50,8,北東,8,1,16.5,8,2012/2/1 15:04,8,北東,8,1,,0,1,84,8,1,4.6,8,1,75,8,2012/2/1 10:08,8,1,979.5,8,1,982.2,8,1,980.8,0,8,2012/2/1 23:50,0,8,1,8.3,8,1,曇時々雪一時晴,8,1,曇時々雪,8,1
2012/2/2,-2.2,8,1,1.3,8,2012/2/2 14:21,8,1,-9.1,8,2012/2/2 23:58,8,1,,,0,1,,,0,,0,0,1,11.8,0,8,1,23.8,8,1,89,0,8,,,,1,5,0,8,1,5.3,8,1,13.1,8,2012/2/2 02:50,8,北東,8,1,15.6,8,2012/2/2 02:46,8,北東,8,1,,0,1,68,8,1,3.6,8,1,38,8,2012/2/2 09:56,8,1,968.0,8,1,970.6,8,1,963.0,0,8,2012/2/2 19:33,0,8,1,5.3,8,1,晴一時曇,8,1,晴後薄曇,8,1
2012/2/3,-3.5,8,1,0.0,8,2012/2/3 14:19,8,1,-9.3,8,2012/2/3 00:13,8,1,,,0,1,,,0,,0,0,1,9.5,0,8,1,21.9,8,1,83,0,8,,,,1,2,0,8,1,2.0,8,1,4.3,8,2012/2/3 09:00,8,南,8,1,5.6,8,2012/2/3 08:47,8,南,8,1,,0,1,71,8,1,3.4,8,1,51,8,2012/2/3 05:43,8,1,967.4,8,1,970.1,8,1,965.4,0,8,2012/2/3 00:07,0,8,1,10.0,8,1,曇時々雪,8,1,雪時々曇,8,1
2012/2/4,-4.2,8,1,-1.8,8,2012/2/4 15:39,8,1,-9.3,8,2012/2/4 23:41,8,1,,,0,1,,,0,,0,0,1,13.6,0,8,1,24.8,8,1,83,0,8,,,,1,0,1,8,1,3.0,8,1,7.4,8,2012/2/4 07:20,8,北東,8,1,9.2,8,2012/2/4 07:41,8,北東,8,1,,0,1,68,8,1,3.1,8,1,53,8,2012/2/4 15:58,8,1,975.9,8,1,978.6,8,1,975.1,0,8,2012/2/4 00:02,0,8,1,4.0,8,1,晴,8,1,晴一時曇,8,1
2012/2/5,-5.9,8,1,-2.8,8,2012/2/5 13:43,8,1,-10.4,8,2012/2/5 02:55,8,1,,,0,1,,,0,,0,0,1,17.4,0,8,1,25.0,8,1,83,0,8,,,,1,0,1,8,1,1.7,8,1,3.7,8,2012/2/5 22:30,8,南南西,8,1,4.5,8,2012/2/5 22:31,8,南西,8,1,,0,1,66,8,1,2.6,8,1,48,8,2012/2/5 12:14,8,1,982.3,8,1,985.1,8,1,982.1,0,8,2012/2/5 00:10,0,8,1,3.0,8,1,晴,8,1,晴後霧,8,1
2012/2/6,-9.4,8,1,-5.4,8,2012/2/6 16:44,8,1,-12.7,8,2012/2/6 05:22,8,1,,,0,1,,,0,,0,0,1,11.7,0,8,1,24.3,8,1,83,0,4,,,,1,,,1,1,2.5,8,1,4.1,8,2012/2/6 02:00,8,西南西,8,1,5.0,8,2012/2/6 02:20,8,南西,8,1,,0,1,86,8,1,2.6,8,1,75,8,2012/2/6 16:46,8,1,984.8,8,1,987.6,8,1,985.7,0,8,2012/2/6 21:13,0,8,1,1.0,8,1,晴一時雪,8,1,晴後曇,8,1
2012/2/7,-4.1,8,1,-1.7,8,2012/2/7 18:46,8,1,-9.1,8,2012/2/7 02:27,8,1,,,0,1,,,0,,0,0,1,0,1,8,1,12.4,8,1,84,0,8,,,,1,5,0,8,1,1.8,8,1,3.5,8,2012/2/7 05:50,8,南,8,1,4.6,8,2012/2/7 06:03,8,南南東,8,1,,0,1,72,8,1,3.3,8,1,62,8,2012/2/7 15:00,8,1,988.4,8,1,991.1,8,1,986.5,0,8,2012/2/7 00:09,0,8,1,9.8,8,1,曇時々雪,8,1,雪,8,1
